id,first_name,last_name,email,country,phone,Rx,ssn
1,Emily,Morales,emorales0@bravesites.com,China,86-(923)331-5208,Glyburide,689-80-2069
2,Wayne,Carroll,wcarroll1@1und1.de,China,86-(573)851-3304,Diphenhydramine Hydrochloride,518-85-9442
3,Carl,Richardson,crichardson2@comsenz.com,Canada,1-(719)788-1183,Hypromellose 2906 (4000 MPA.S) and Hypromellose 2906 (50 MPA.S),971-73-7605
4,Richard,Perkins,rperkins3@hexun.com,China,86-(660)785-2397,Octinoxate and Titanium dioxide,809-66-7085
5,Ronald,Gutierrez,rgutierrez4@tinyurl.com,China,86-(516)234-4373,Terbinafine Hydrochloride,198-87-9731
6,Joe,Little,jlittle5@wikispaces.com,Finland,358-(749)931-6760,Quetiapine fumarate,350-41-5046
7,Nicholas,Lawson,nlawson6@dyndns.org,Turkmenistan,993-(216)732-1942,Acetaminophen,501-29-7146
8,Deborah,Rodriguez,drodriguez7@dmoz.org,Ivory Coast,225-(524)497-6812,Methocarbamol,540-74-2958
9,Amanda,Coleman,acoleman8@google.co.uk,France,33-(719)531-8270,DIMETHICONE,159-68-9572
10,Andrew,Ross,aross9@instagram.com,United States,1-(503)378-4006,psyllium husk,430-30-2305
11,Andrew,Sims,asimsa@irs.gov,Indonesia,62-(688)312-4369,senna and docusate sodium,576-95-9273
12,Victor,Gonzalez,vgonzalezb@biglobe.ne.jp,United States,1-(571)940-6972,Prednisone,171-46-9430
13,Douglas,Henderson,dhendersonc@upenn.edu,Indonesia,62-(354)293-7238,"Chondrus crispus, Fucus vesiculosus, Thyroidinum (suis), Cadmium iodatum, Cadmium sulphuratum, Iodium, Uranium nitricum, Radium bromatum,",176-45-4352
14,Norma,Palmer,npalmerd@bravesites.com,China,86-(893)210-0288,Paroxetine Hydrochloride,416-55-3330
15,Patricia,Fields,pfieldse@latimes.com,Peru,51-(742)611-1791,ERYTHROMYCIN STEARATE,859-83-0501
16,Evelyn,King,ekingf@google.nl,China,86-(486)415-2753,ciprofloxacin hydrochloride,318-28-2385
17,Margaret,Tucker,mtuckerg@webmd.com,Mongolia,976-(861)508-4758,Theophylline,711-13-0879
18,Philip,Graham,pgrahamh@weibo.com,Thailand,66-(815)692-0595,Hydrocodone Bitartrate and Acetaminophen,977-19-1864
19,Diane,Hanson,dhansoni@nymag.com,France,33-(704)742-3647,"Aloe Socotrina, Alumina, Apis Mellifica, Arsenicum Album, Baryta Carbonica, Bryonia, Carbo Vegetabilis, Chamomilla",944-32-9391
20,Ann,Martinez,amartinezj@who.int,France,33-(154)946-7196,lansoprazole,604-70-2610
21,Jeffrey,Bowman,jbowmank@barnesandnoble.com,Sierra Leone,232-(449)333-5611,Fluorouracil,344-26-3758
22,Juan,Ray,jrayl@chicagotribune.com,China,86-(331)592-0858,Lindane,439-77-4845
23,Thomas,Barnes,tbarnesm@senate.gov,China,86-(192)723-3206,ezetimibe and atorvastatin,726-75-2352
24,Ralph,Fisher,rfishern@ucoz.com,China,86-(983)414-1397,sodium fluoride,860-50-1498
25,Sarah,Hansen,shanseno@so-net.ne.jp,China,86-(758)844-9384,Albuterol Sulfate,333-88-2409
26,Robert,Pierce,rpiercep@blogspot.com,Brazil,55-(347)642-5117,Ibuprofen,328-63-6102
27,Terry,Perry,tperryq@google.co.uk,Philippines,63-(673)756-9915,"Carbo veg , Causticum, Hepar sulph, Silicea , Acacia gum, lactose, magnesium stearate, corn starch, sucrose",724-99-0117
28,Donald,Hughes,dhughesr@dagondesign.com,Czech Republic,420-(813)426-0152,fentanyl citrate,533-23-6910
29,Susan,Jacobs,sjacobss@intel.com,Japan,81-(249)556-7665,montelukast sodium,185-53-3617
30,Albert,Matthews,amatthewst@theglobeandmail.com,Portugal,351-(755)329-0294,"Acetaminophen, Diphenhydramine HCl",793-85-3377
31,Robin,Harvey,rharveyu@dailymotion.com,China,86-(418)377-7192,"INFLUENZA A VIRUS A/BRISBANE/10/2010 (H1N1) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED), INFLUENZA A VIRUS A/TEXAS/50/2012 X-223A (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED), and INFLUENZA B VIRUS B/MASSACHUSETTS/2/2012 ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED)",383-86-6309
32,Cheryl,Moore,cmoorev@microsoft.com,China,86-(664)247-4695,Benzocaine,163-14-9652
33,Thomas,Murray,tmurrayw@networkadvertising.org,Brazil,55-(693)204-1178,Salicylic acid,763-70-5208
34,Janet,Hunter,jhunterx@lulu.com,Cuba,53-(789)884-5365,PYRITHIONE ZINC,335-36-8460
35,Jeremy,Simpson,jsimpsony@squidoo.com,United States,1-(602)181-0119,Hydrocodone Bitartrate and Acetaminophen,997-16-1858
36,Shawn,Harris,sharrisz@shinystat.com,United States,1-(408)189-9017,Bisacodyl,437-48-0770
37,Virginia,Hunter,vhunter10@freewebs.com,Russia,7-(891)896-2959,Ibuprofen,408-14-6739
38,Bruce,Carroll,bcarroll11@ezinearticles.com,Canada,1-(669)904-2216,CARBON DIOXIDE OXYGEN MIXTURE,432-03-2348
39,Billy,Wheeler,bwheeler12@paginegialle.it,Indonesia,62-(541)491-6869,Grain Smut Mixture,170-94-8752
40,Daniel,Mason,dmason13@freewebs.com,Sweden,46-(658)243-0935,Carvedilol,933-92-6120
41,Bobby,Perez,bperez14@umn.edu,Kosovo,383-(643)825-9223,"DROSERA, ARNICA MONTANA, BRYONIA, IPECACUANHA, CETRARIA ISLANDICA, BELLADONNA, COCCUS CACTI, CORRALLIUM RUBRUM, STANNUM METALLICUM",726-06-3131
42,Frances,Webb,fwebb15@dmoz.org,Yemen,967-(682)454-6389,Acetaminophen,902-22-2972
43,Louis,Carroll,lcarroll16@usgs.gov,Philippines,63-(707)337-4685,Metoprolol succinate,578-14-5106
44,Peter,Frazier,pfrazier17@dedecms.com,Norway,47-(636)132-5302,Aluminum zirconium tetrachlorohydrex gly (19% Anhydrous),130-30-7271
45,Pamela,Hawkins,phawkins18@mashable.com,Egypt,20-(159)742-7926,Loratadine,807-32-7215
46,Kathryn,Nichols,knichols19@sina.com.cn,Brazil,55-(970)717-5269,Ethyl alcohol,905-86-6364
47,Louise,Hicks,lhicks1a@pbs.org,Finland,358-(613)466-5558,cetirizine hydrochloride,664-92-5239
48,Chris,Davis,cdavis1b@clickbank.net,Indonesia,62-(559)775-7323,"AVOBENZONE, OCTOCRYLENE, OXYBENZONE",687-45-7364
49,Nicholas,Alexander,nalexander1c@examiner.com,Portugal,351-(470)446-8126,oxybutynin chloride,851-93-8438
50,Arthur,Bowman,abowman1d@about.com,Indonesia,62-(848)759-6623,fenofibrate,498-06-4968
51,Christina,Knight,cknight1e@geocities.jp,Poland,48-(138)806-1944,solifenacin succinate,274-58-4863
52,Irene,Scott,iscott1f@t-online.de,Indonesia,62-(175)166-3222,Cefprozil,137-40-6645
53,Wayne,Bowman,wbowman1g@wikipedia.org,France,33-(259)748-7517,Primidone,952-73-4683
54,Angela,Dunn,adunn1h@hexun.com,Honduras,504-(808)496-6223,Zinc Gluconate,649-45-8244
55,Barbara,Hanson,bhanson1i@dion.ne.jp,South Africa,27-(225)837-6284,Titanium Dioxide and Zinc Oxide,143-47-1825
56,Eugene,Lane,elane1j@mashable.com,China,86-(568)374-3838,Compressed Oxygen,786-57-2404
57,Laura,Morales,lmorales1k@unc.edu,Armenia,374-(490)449-6014,basil,537-52-4021
58,Chris,Larson,clarson1l@aol.com,Peru,51-(594)574-2636,Warfarin Sodium,409-23-9997
59,Carlos,Patterson,cpatterson1m@sina.com.cn,Colombia,57-(769)692-2919,Dexamethasone,646-52-6278
60,Donald,Ruiz,druiz1n@nih.gov,Russia,7-(570)538-5240,estradiol,788-79-2459
61,Justin,Lewis,jlewis1o@last.fm,Tunisia,216-(268)866-2568,testosterone,985-44-6275
62,Joseph,West,jwest1p@sphinn.com,Uruguay,598-(922)829-3371,Triclosan,101-94-8622
63,Russell,Hansen,rhansen1q@shareasale.com,Czech Republic,420-(499)690-4024,Famotidine,426-91-6007
64,Timothy,Richardson,trichardson1r@mail.ru,Indonesia,62-(512)918-3354,"Sulfur, Symphytum Officinale (Comfrey)",700-72-1669
65,Virginia,Lynch,vlynch1s@zdnet.com,Indonesia,62-(422)269-6648,White Hickory,345-02-8949
66,Jeremy,Ferguson,jferguson1t@smh.com.au,China,86-(881)736-4669,Acetaminophen,831-74-1813
67,Melissa,Coleman,mcoleman1u@usgs.gov,Laos,856-(692)173-4289,Nortriptyline Hydrochloride,810-88-9246
68,Marie,Carter,mcarter1v@kickstarter.com,China,86-(421)308-9365,Titanium Dioxide,697-25-6607
69,Jeremy,Simmons,jsimmons1w@webnode.com,Indonesia,62-(318)479-0485,"ARSENICUM ALBUM,SULPHUR,ANAS BARBARIAE,WYETHIA HELENIOIDES,SARCOLACTICUM ACIDUM,RHUS TOXICODENDRON,PHYTOLACCA DECANDRA,LACHESIS MUTUS,GELSEMIUM SEMPERVIRENS,EUCALYPTUS GLOBULUS,ECHINACEA PURPUREA,EUPATORIUM PERFOLIATUM,DULCAMARA,,CINCHONA OFFICINALIS,BRYONIA ALBA,CAUSTICUM,BAPTISIA TINCTORIA,",534-17-2981
70,Gloria,Bennett,gbennett1x@hexun.com,France,33-(621)351-4451,sertraline hydrochloride,251-78-8346
